"stimulation" "img" "nucleus" "size" "elongation" "x" "y" "z" "mean" "sigma" "threshold" "otsu"
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_09.lsm" 3 2.27353004658 450.894026359 387 158 28 95.6195882955 20.2571671971 60 51
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_09.lsm" 4 2.17404403381 429.985054977 252 409 28 87.0579984415 16.5198495171 60 51
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_10.lsm" 1 1.58005339734 436.664747896 403 353 24 91.7633081367 19.2407938383 52 45
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_10.lsm" 2 2.62378406535 413.872799623 121 197 28 90.4740219416 19.492412424 52 45
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_11.lsm" 1 2.06154462278 465.424238443 341 112 21 95.3993957275 22.1203672868 49 41
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_11.lsm" 2 3.61514165293 473.677951548 192 346 25 73.1077522504 17.2855663095 49 41
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_12.lsm" 1 2.97542522875 540.291437696 365 364 17 89.3556703249 20.5113079197 52 45
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_12.lsm" 2 3.37710763463 532.308197692 151 133 19 88.1806539723 18.5146823446 52 45
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_15.lsm" 1 1.6937904528 510.545346445 94 230 23 159.305907803 34.6017167596 82 72
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_15.lsm" 2 3.93389554053 555.417396782 367 308 27 132.181604694 26.9014369025 82 72
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_16.lsm" 1 2.380340183 722.30215699 244 289 19 140.801034405 29.3525011326 84 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_17.lsm" 1 2.51003820579 583.787836715 282 232 21 163.168285097 33.2752107901 95 81
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_18.lsm" 1 1.171875 501.235611391 330 103 29 210.186615652 38.2037653794 103 93
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_18.lsm" 2 2.13789812732 527.782362719 179 407 35 168.995285732 31.2320282094 103 93
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_19.lsm" 1 1.30407308854 516.071842172 319 414 23 142.882946727 25.5908138739 83 73
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_19.lsm" 2 1.62711864407 506.596367609 378 264 30 145.263423531 30.8537017042 83 73
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_19.lsm" 3 1.36285101995 482.153106855 227 117 37 144.8441393 28.303182334 83 73
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_19.lsm" 4 1.68297489501 447.635229827 157 345 41 147.442184309 30.6021504714 83 73
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_20.lsm" 1 2.68184993951 559.780051338 222 202 19 118.925511478 25.6145501353 71 58
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_21.lsm" 1 2.41127459193 561.238422413 404 136 22 148.03829338 35.2090321071 79 67
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_21.lsm" 2 2.91923173598 419.863051137 98 332 23 122.210933418 24.9233245773 79 67
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_23.lsm" 1 3.02050742918 559.99817042 261 231 21 111.418632458 24.9446784003 68 55
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_24.lsm" 1 3.41465466728 555.00101329 342 384 19 98.9487655573 19.8348814507 64 55
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_24.lsm" 2 3.07009784966 577.069660192 274 113 19 121.077632572 29.8385107126 64 55
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_25.lsm" 1 2.39242784799 495.325228706 100 239 18 70.751522002 14.8651464835 48 40
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_25.lsm" 2 2.95837852171 476.311863606 397 285 19 93.4088202247 22.6977465466 48 40
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_451.lsm" 1 6.01035896207 378.210786573 326 229 13 105.366225477 26.978032784 58 53
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_13.lsm" 1 2.64769723254 507.242181207 287 229 20 150.48279264 32.5870705312 85 74
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_14.lsm" 1 1.13792886729 477.505038248 90 265 25 170.627407562 37.3315163956 81 74
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_14.lsm" 2 2.80573300867 524.949478065 375 264 30 126.777508385 22.1262305906 81 74
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_26.lsm" 1 5.51806133331 241.314768464 112 215 14 77.4376211557 19.0218691159 41 39
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_26.lsm" 2 5.62625861436 248.425124185 394 225 14 77.497832351 17.9239657296 41 39
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_27.lsm" 1 3.78054029064 375.730516956 245 196 15 84.7119520528 18.7791668326 46 42
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_28.lsm" 1 3.4188219295 346.715783567 301 222 13 50.9108716729 12.1337800661 27 25
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_29.lsm" 1 2.65632165349 461.601443155 290 245 19 137.188429809 32.7322412746 75 68
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_30.lsm" 1 3.3225581721 474.871895153 258 227 19 110.398603249 24.8744345914 60 56
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_31.lsm" 1 2.80185875707 525.061585538 249 268 21 98.4561269744 21.6506585932 54 49
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_32.lsm" 1 3.18280335075 456.958389572 264 219 18 111.08208734 25.5385085134 61 55
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_33.lsm" 1 2.93316066584 462.808944836 263 231 21 103.874411849 25.9089338389 57 53
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_34.lsm" 1 3.19362307886 534.135012999 271 248 19 151.548802519 34.8285724028 86 76
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_35.lsm" 1 2.2887886375 601.442971811 265 247 23 140.287327714 28.8501169976 78 70
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_36.lsm" 1 2.94708784562 605.712684207 314 124 18 156.033318115 36.8333473794 79 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_36.lsm" 2 4.51508971219 679.217027723 239 375 20 130.325989748 27.8706633049 79 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_37.lsm" 1 2.42958860058 591.909429189 96 282 23 144.748393086 30.9227296367 79 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_37.lsm" 2 2.80442377882 581.68546708 400 339 23 139.448437494 29.0431898917 79 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_38.lsm" 1 2.40416683034 504.804178243 257 130 19 76.2643592292 17.6365391614 39 35
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_38.lsm" 3 3.06840726715 512.994095843 156 386 19 68.3523335946 14.8016306305 39 35
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_39.lsm" 1 2.89427726796 538.522959725 276 218 18 94.3289880763 20.7295221561 52 48
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_40.lsm" 1 2.72038878057 502.503205848 380 163 19 142.071132502 33.4117821627 72 65
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_40.lsm" 2 4.68066893127 514.375349015 155 348 21 119.130671506 24.2289027871 72 65
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_41.lsm" 1 3.22531445694 454.819917791 109 120 21 129.568866153 28.4349267256 72 65
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_41.lsm" 2 3.58519164898 456.7894886 156 331 21 134.375889554 31.4371674243 72 65
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_41.lsm" 3 3.39506784941 473.963409765 440 364 22 128.639478345 28.4801245238 72 65
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_42.lsm" 1 2.57103638139 892.778146611 109 275 21 73.2515210206 15.5093035503 42 38
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_42.lsm" 2 2.27578188082 496.849546457 424 336 23 72.6307631392 14.5061312201 42 38
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_42.lsm" 3 2.43511241499 453.118171798 194 134 24 83.1296683911 19.483169785 42 38
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_43.lsm" 1 2.197237092 579.265315322 294 95 21 80.0778551678 16.0728678584 45 40
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_43.lsm" 2 2.58960085843 584.433302243 257 402 22 83.1759957988 18.0148074611 45 40
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070411_44.lsm" 1 2.94368735964 620.985027348 239 253 20 106.681876272 23.2919663208 63 53
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_45.lsm" 1 6.01035896207 378.210786573 326 229 13 105.366225477 26.978032784 58 53
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_46.lsm" 1 2.5025943446 831.631015912 145 97 24 94.6041177283 16.1630376625 54 50
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_46.lsm" 2 2.30297912705 493.972346584 425 397 25 107.553597072 22.7808955826 54 50
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_47.lsm" 1 1.59397780111 384.766956643 327 204 22 153.961822122 28.6408186047 81 76
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_48.lsm" 1 2.63907281158 435.624602721 297 235 19 58.2635814462 11.6409481791 32 28
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_49.lsm" 1 2.6908193373 503.585286966 301 233 19 56.7022652498 11.835949197 31 28
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_50.lsm" 1 2.72531702111 576.625262959 306 228 21 70.8432855954 14.3517146879 39 35
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_51.lsm" 1 1.93218971645 430.241249709 276 246 22 86.3782180221 16.7048972854 46 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_52.lsm" 1 1.83997560123 494.958976427 281 247 22 80.3436345753 16.1357985381 43 40
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_53.lsm" 1 2.04029158543 511.471842015 268 274 22 75.5126293053 15.7408278219 41 38
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_54.lsm" 1 2.07912429564 479.869052283 262 244 21 118.897592758 23.1130081919 64 59
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_55.lsm" 1 1.82090539345 553.607611001 395 365 26 81.1965512363 15.3070907546 45 42
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_55.lsm" 2 1.89958182091 559.792251087 141 144 28 82.1218317742 16.2637545879 45 42
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_56.lsm" 1 1.83000274323 621.191492004 421 250 24 62.7089894469 12.660028602 32 28
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_56.lsm" 2 2.00703451772 465.386051376 333 100 25 45.2563013054 9.49571485412 32 28
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_56.lsm" 3 2.1268091583 586.803620242 421 414 25 67.4401742088 14.87233334 32 28
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_56.lsm" 4 1.80834033299 526.093515737 100 156 27 56.0109300587 10.2418870434 32 28
