"stimulation" "img" "nucleus" "gene" "x" "y" "z" "px" "py" "pz" "dist" "ci" "mean" "max" "median" "nMean" "nMinimum" "nMaximum" "nMedian" "nSigma" "nKurtosis" "nSkewness"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "cas" 253 118 23 14.4318717952 6.74319869164 5.47299705543 0.220434903643 0.0926543430839 96.4320987654 168.0 89.849609375 66.1141975309 9.0 108.0 70.7890625 22.9529586707 -0.720788663333 -0.490348921173
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "cas" 235 205 24 13.4453559154 11.6862420268 5.67806921312 0.801930661714 0.46493722627 82.867768595 127.0 77.962890625 83.0082644628 52.0 106.0 84.2421875 9.80091948245 0.0753591207087 -0.405806607101
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "wap" 271 75 13 20.2280020081 5.58606090022 3.22469982847 1.59950452542 0.662533652645 224.230769231 244.0 221.6015625 121.974358974 110.0 144.0 121.365234375 7.45684842236 0.577151024554 0.824051153834
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "wap" 238 105 23 17.7672681302 7.88259148188 5.51392200807 1.7637999313 0.707994792806 189.872340426 232.0 190.1484375 117.85106383 98.0 140.0 116.853515625 9.34130314763 -0.800994540411 0.102076550384
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "wap" 246 130 23 18.3689627118 9.72015784541 5.60335898597 1.69858917476 0.690369011077 215.512195122 243.0 213.9765625 108.634146341 88.0 128.0 109.634765625 11.4034119841 -1.21450163249 -0.0708251143144
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "wap" 355 116 24 26.5392830529 8.69190087074 5.77995893224 0.975631221319 0.454420544845 213.804878049 242.0 213.9765625 124.951219512 107.0 140.0 125.876953125 8.68317689418 -0.82574608514 -0.114842734077
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "cas" 260 155 13 19.469468492 11.6232303375 3.11687398729 0.155062135608 0.0592285388167 107.331103679 192.0 100.125 76.6989966555 10.0 135.0 81.662109375 30.1933872988 -0.971100271092 -0.387049298805
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "cas" 239 143 32 17.8608372126 10.7241177528 7.66149128686 0.195137923817 0.0763604460487 103.791304348 184.0 97.125 89.0739130435 21.0 139.0 97.904296875 31.8414291305 -0.95599565229 -0.559131532503
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "cas" 288 112 40 21.5663224684 8.36183025112 9.5790114451 0.61019172098 0.298758147608 103.708695652 189.0 96.375 111.660869565 62.0 154.0 114.146484375 22.7053989911 -0.656474349977 -0.476708592396
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 "cas" 268 132 41 20.0156855138 9.89039176102 9.77219167321 0.547807804356 0.265761478342 78.7422680412 125.0 75.375 108.87628866 69.0 145.0 112.341796875 17.1210504764 -0.379273328161 -0.522548598664
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "wap" 272 375 21 20.3211717991 28.0486760985 5.13808621758 3.04176988635 0.952781189806 143.0 200.0 134.8671875 146.101265823 126.0 170.0 145.728515625 9.33506614415 -0.231777151665 0.179270553762
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "wap" 239 395 28 17.8726240448 29.5137103036 6.79954006722 2.93828968113 0.942930175861 152.783783784 215.0 145.3515625 148.540540541 127.0 169.0 148.435546875 10.4490796464 -0.738409441816 0.100603814364
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "wap" 234 382 34 17.5204809501 28.5574601078 8.09673613564 1.80612153307 0.750343720526 76.5135135135 166.0 69.1015625 138.722972973 116.0 167.0 137.607421875 10.2783180722 0.107846388562 0.207315604553
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "wap" 249 372 36 18.577600674 27.7919841312 8.7091053889 1.58940817772 0.689577809498 86.9307692308 161.0 80.5390625 145.661538462 110.0 175.0 145.728515625 11.5654885217 -0.00854253610415 -0.137219854469
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "cas" 312 340 19 23.3220447691 25.4248850245 4.65709062418 0.223297846288 0.107036403698 105.385321101 184.0 100.125 96.0137614679 20.0 166.0 105.123046875 38.6032017198 -1.19373952555 -0.25845003189
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "cas" 197 352 23 14.744021721 26.3021865973 5.53673001715 0.247849865921 0.106202582464 88.8719512195 146.0 85.125 107.756097561 43.0 140.0 114.146484375 22.9151869033 0.181471849527 -0.981948869049
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 "cas" 291 345 39 21.7607776922 25.7852079524 9.30630826191 0.526623710679 0.276033216763 95.2512077295 170.0 88.125 106.565217391 53.0 154.0 112.341796875 26.2279837923 -0.983154619104 -0.341152413516
